name,seat,charge,leavehour,departure,arrival,departure_datetime,arrival_datetime,check
대한항공,일반석,129700,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
제주항공,할인석,49600,10,GMP,CJU,2023-07-21 10:35:00,2023-07-21 11:35:00,come
제주항공,일반석,119200,10,GMP,CJU,2023-07-21 10:35:00,2023-07-21 11:35:00,come
아시아나항공,할인석,78700,10,GMP,CJU,2023-07-21 10:40:00,2023-07-21 11:50:00,come
아시아나항공,일반석,132700,10,GMP,CJU,2023-07-21 10:40:00,2023-07-21 11:50:00,come
대한항공,일반석,129700,10,GMP,CJU,2023-07-21 10:45:00,2023-07-21 11:55:00,come
에어서울,특가석,35600,10,GMP,CJU,2023-07-21 10:50:00,2023-07-21 12:00:00,come
에어서울,할인석,47600,10,GMP,CJU,2023-07-21 10:50:00,2023-07-21 12:00:00,come
에어서울,일반석,119700,10,GMP,CJU,2023-07-21 10:50:00,2023-07-21 12:00:00,come
이스타항공,할인석,35600,10,GMP,CJU,2023-07-21 10:55:00,2023-07-21 12:05:00,come
이스타항공,일반석,119600,10,GMP,CJU,2023-07-21 10:55:00,2023-07-21 12:05:00,come
진에어,특가석,35900,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:05:00,come
진에어,할인석,42700,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:05:00,come
대한항공,할인석,67700,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:05:00,come
대한항공,할인석,83700,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:10:00,come
대한항공,일반석,106700,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:05:00,come
진에어,일반석,119700,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:05:00,come
대한항공,일반석,129700,11,GMP,CJU,2023-07-21 11:00:00,2023-07-21 12:10:00,come
에어부산,할인석,33900,11,GMP,CJU,2023-07-21 11:10:00,2023-07-21 12:30:00,come
에어부산,일반석,118700,11,GMP,CJU,2023-07-21 11:10:00,2023-07-21 12:30:00,come
아시아나항공,특가석,66700,11,GMP,CJU,2023-07-21 11:15:00,2023-07-21 12:25:00,come
아시아나항공,할인석,72700,11,GMP,CJU,2023-07-21 11:15:00,2023-07-21 12:25:00,come
아시아나항공,일반석,132700,11,GMP,CJU,2023-07-21 11:15:00,2023-07-21 12:25:00,come
제주항공,할인석,49600,11,GMP,CJU,2023-07-21 11:30:00,2023-07-21 12:30:00,come
대한항공,특가석,50700,11,GMP,CJU,2023-07-21 11:30:00,2023-07-21 12:40:00,come
대한항공,할인석,83700,11,GMP,CJU,2023-07-21 11:30:00,2023-07-21 12:40:00,come
